"BehaviorSpace results (NetLogo 6.2.2)"
"Core_Housing_Model.nlogo"
"baseline"
"01/17/2022 22:21:24:266 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","reliance-on-network","fixed-distr-social-housing","income-socially-influenced?","hide-links?","number","clustered-social-housing","minimum-score-upper","social-housing?","minimum-score-working","different-district-colours?","number-socialhousing","minimum-score-middle","[step]","segregation_working_obj ;;average segregation measure for the working class based on distribution of turtles of the same class in neighboring patches","segregation_middle_obj ;;average segregation measure for the middle class based on distribution of turtles of the same class in neighboring patches","segregation_upper_obj ;;average segregation measure for the upper class based on distribution of turtles of the same class in neighboring patches","segregation_working_norm ;;average segregation measure for the working class based on distance to greeneries and services","segregation_middle_norm ;;average segregation measure for the middle class based on distance to greeneries and services","segregation_upper_norm ;;average segregation measure for the upper class based on distance to greeneries and services","total-working","total-middle","total-upper","working-district-1","working-district-2","working-district-3","working-district-4","working-periphery","working-centre","middle-district-1","middle-district-2","middle-district-3","middle-district-4","middle-periphery","middle-centre","upper-district-1","upper-district-2","upper-district-3","upper-district-4","upper-periphery","upper-centre","working-avg-distance-services","middle-avg-distance-services","upper-avg-distance-services","working-avg-distance-green","middle-avg-distance-green","upper-avg-distance-green","percent-cannot-afford","percent-unhappy","min-income","max-income","mean-income","std-income","min-wealth","max-wealth","avg-wealth","std-wealth","min-houseprice","max-houseprice","avg-houseprice","std-houseprice"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.0625","85","0","0","0","0","0","0","0","0","0","0","0","0"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.5625","84.6875","0","0","0","0","0","0","0","0","0","0","0","0"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.3125","83.8125","0","0","0","0","0","0","0","0","0","0","0","0"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.375","85.6875","0","0","0","0","0","0","0","0","0","0","0","0"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","1","5.164794007490637","5","5.615384615384615","0","0","0","534","533","533","88","77","103","63","203","331","97","63","144","73","156","377","127","134","70","140","62","471","4.980598736768633","4.933761626907536","4.614030783604752","5.153695308836262","5.207556248668111","4.875500819725118","17.9375","53.43750000000001","187","6899","1785.798125","1144.407323660599","137","3937","978.9725","561.4299825085377","45","9888","1772.6215888417223","1472.257858317727"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","1","5.385767790262173","4.99249530956848","5.622889305816135","0","0","0","534","533","533","87","67","95","50","235","299","156","113","78","60","126","407","70","99","141","165","58","475","4.999573540536124","5.026746445127925","4.506875830162386","5.179455163355024","5.326050097116276","4.759588319257365","13.875000000000002","49","245","7407","1789.90125","1192.3303537794272","142","3383","976.6125","566.2011190034187","57","9142","1660.2280169799878","1359.4065332835467"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","1","5.389513108614232","4.943714821763602","5.409005628517824","0","0","0","534","533","533","95","63","71","67","238","296","151","74","116","65","127","406","71","134","126","143","59","474","5.17167957716134","4.915855381982272","4.4793542948187755","5.354851024125692","5.058852721578651","4.888676450398401","16.6875","53","160","8276","1815.48","1216.685453612867","98","3011","979.39125","556.2223073627508","42","8970","1737.3953911461492","1437.8077336723"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","1","5.01123595505618","4.924953095684803","5.626641651031895","0","0","0","534","533","533","97","102","86","55","194","340","110","69","84","78","192","341","101","108","141","143","40","493","4.982988528363432","4.947132909615967","4.574294382127078","5.207467882421522","5.197373841160286","4.778961482032122","14.75","52.37500000000001","203","7414","1849.2225","1276.0729669103175","118","3442","973.410625","557.0175377382224","64","11332","1721.9890842935113","1475.5268459712095"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","2","5.47565543071161","4.924953095684803","5.690431519699812","0","0","0","534","533","533","92","62","89","57","234","300","98","70","147","78","140","393","127","141","75","138","52","481","5.08749384537167","4.858691694466243","4.610228236601462","5.209189868064633","5.090101663811869","4.922605591820693","12.1875","37.75","188","6920","1791.155","1147.8348913546474","137","3937","978.9725","561.4299825085376","47","9898","1777.8520315342632","1473.3328219739215"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","2","5.880149812734082","5.24015009380863","5.836772983114447","0","0","0","534","533","533","79","57","90","44","264","270","161","120","76","63","113","420","68","99","148","170","48","485","5.148405478627239","4.851815105212015","4.542374608213712","5.127679727211995","5.323631622997975","4.747558052679419","8.8125","32.9375","246","7429","1795.25625","1195.9058150770138","142","3383","976.6125","566.2011190034189","59","9149","1665.1067313523347","1360.3193195801002"
